"resale_price","month","flat_type","block","street_name","Floor_Range","floor_area_sqm","lease_commence_date","Total_Months","Flag_for_floor_range","Flag_for_total_months","PSF","PSF_RP_DIV_FSQM","AVG_RP"
"415000","2019-02","4 ROOM","124","BISHAN ST 12","1","84","1987","804","1","1","58.81519274376417","4940.476190476191","1661.6616616616616"
"415000","2019-06","3 ROOM","185","BISHAN ST 13","7","64","1988","804","2","1","101.318359375","6484.375","1661.6616616616616"
"415000","2019-12","4 ROOM","149","BISHAN ST 11","4","84","1987","792","1","1","58.81519274376417","4940.476190476191","1661.6616616616616"
"415000","2020-09","3 ROOM","115","BISHAN ST 12","7","64","1986","768","2","1","101.318359375","6484.375","1661.6616616616616"
"517400","2020-11","4 ROOM","287","BISHAN ST 24","4","103","1992","840","1","1","48.769912338580454","5023.300970873786","517.9179179179179"
"675000","2018-11","5 ROOM","144","BISHAN ST 12","4","123","1988","816","1","1","44.6162998215348","5487.804878048781","3378.3783783783783"
"675000","2018-11","5 ROOM","446","BRIGHT HILL DR","4","123","1990","840","1","1","44.6162998215348","5487.804878048781","3378.3783783783783"
"675000","2019-03","5 ROOM","179","BISHAN ST 13","1","121","1987","804","1","1","46.10340823714227","5578.512396694215","3378.3783783783783"
"675000","2019-05","5 ROOM","135","BISHAN ST 12","4","121","1987","804","1","1","46.10340823714227","5578.512396694215","3378.3783783783783"
"675000","2019-11","5 ROOM","138","BISHAN ST 12","4","121","1987","792","1","1","46.10340823714227","5578.512396694215","3378.3783783783783"
"417000","2018-10","3 ROOM","105","BISHAN ST 12","7","64","1985","792","2","1","101.806640625","6515.625","417.4174174174174"
"505000","2019-01","4 ROOM","122","BISHAN ST 12","10","84","1986","792","2","1","71.5702947845805","6011.9047619047615","1516.5165165165165"
"505000","2019-07","4 ROOM","112","BISHAN ST 12","7","84","1985","768","2","1","71.5702947845805","6011.9047619047615","1516.5165165165165"
"505000","2019-07","4 ROOM","172","BISHAN ST 13","4","103","1987","804","1","1","47.601093411254595","4902.9126213592235","1516.5165165165165"
"435000","2019-02","3 ROOM","308","SHUNFU RD","10","67","1984","768","2","1","96.90354199153487","6492.537313432836","870.8708708708708"
"435000","2020-09","4 ROOM","264","BISHAN ST 24","1","101","1992","840","1","1","42.64287814920106","4306.930693069307","870.8708708708708"
"500000","2018-12","5 ROOM","136","BISHAN ST 12","1","122","1987","804","1","1","33.59312012899758","4098.360655737705","7507.507507507507"
"500000","2019-01","4 ROOM","109","BISHAN ST 12","7","84","1985","780","2","1","70.86167800453515","5952.380952380952","7507.507507507507"
"500000","2019-02","4 ROOM","309","SHUNFU RD","4","95","1984","768","1","1","55.40166204986149","5263.1578947368425","7507.507507507507"
"500000","2019-03","4 ROOM","254","BISHAN ST 22","1","112","1992","864","1","1","39.859693877551024","4464.285714285715","7507.507507507507"
"500000","2019-04","4 ROOM","451","SIN MING AVE","1","105","1990","828","1","1","45.35147392290249","4761.9047619047615","7507.507507507507"
"500000","2019-05","4 ROOM","232","BISHAN ST 22","4","105","1992","852","1","1","45.35147392290249","4761.9047619047615","7507.507507507507"
"500000","2019-06","4 ROOM","403","SIN MING AVE","4","89","1986","792","1","1","63.123343012245925","5617.9775280898875","7507.507507507507"
"500000","2019-09","4 ROOM","454","SIN MING AVE","4","103","1989","828","1","1","47.12979545668772","4854.368932038835","7507.507507507507"
"500000","2019-10","4 ROOM","107","BISHAN ST 12","7","84","1985","780","2","1","70.86167800453515","5952.380952380952","7507.507507507507"
"500000","2019-12","4 ROOM","313","SHUNFU RD","4","92","1985","768","1","1","59.07372400756144","5434.782608695652","7507.507507507507"
"500000","2020-03","4 ROOM","197","BISHAN ST 13","7","84","1987","780","2","1","70.86167800453515","5952.380952380952","7507.507507507507"
"500000","2020-03","4 ROOM","250","BISHAN ST 22","4","105","1992","852","1","1","45.35147392290249","4761.9047619047615","7507.507507507507"
"500000","2020-10","4 ROOM","406","SIN MING AVE","4","89","1987","780","1","1","63.123343012245925","5617.9775280898875","7507.507507507507"
"500000","2020-12","4 ROOM","122","BISHAN ST 12","1","105","1986","768","1","1","45.35147392290249","4761.9047619047615","7507.507507507507"
"500000","2020-12","4 ROOM","108","BISHAN ST 12","1","89","1985","756","1","1","63.123343012245925","5617.9775280898875","7507.507507507507"
"965000","2019-04","EXECUTIVE","301","SHUNFU RD","1","150","1985","780","1","1","42.888888888888886","6433.333333333333","1931.931931931932"
"965000","2020-09","5 ROOM",,"BISHAN ST 24","13","120","2011","1080","3","1","67.01388888888889","8041.666666666667","1931.931931931932"
"260000","2018-10","3 ROOM","24","SIN MING RD","1","65","1973","648","1","0","61.53846153846154","4000.0","780.7807807807808"
"260000","2019-02","3 ROOM","24","SIN MING RD","7","65","1973","636","2","0","61.53846153846154","4000.0","780.7807807807808"
"260000","2020-08","3 ROOM","22","SIN MING RD","7","68","1973","624","2","0","56.22837370242215","3823.529411764706","780.7807807807808"
"506000","2019-04","4 ROOM","109","BISHAN ST 12","10","84","1985","780","2","1","71.71201814058956","6023.809523809524","1013.013013013013"
"506000","2020-08","4 ROOM","455","SIN MING AVE","1","105","1990","816","1","1","45.89569160997733","4819.047619047619","1013.013013013013"
"210000","2020-03","3 ROOM","22","SIN MING RD","4","68","1973","624","1","0","45.41522491349481","3088.235294117647","210.21021021021022"
"405000","2019-03","4 ROOM",,"BISHAN ST 11","4","84","1989","816","1","1","57.39795918367347","4821.428571428572","1621.6216216216217"
"405000","2019-06","3 ROOM","189","BISHAN ST 13","1","64","1988","816","1","1","98.876953125","6328.125","1621.6216216216217"
"405000","2019-07","3 ROOM","180","BISHAN ST 13","7","64","1988","804","2","1","98.876953125","6328.125","1621.6216216216217"
"405000","2019-10","3 ROOM","307","SHUNFU RD","7","67","1985","768","2","1","90.22053909556693","6044.776119402985","1621.6216216216217"
"850000","2018-09","5 ROOM","203","BISHAN ST 23","10","132","1992","864","2","1","48.78328741965105","6439.393939393939","10210.21021021021"
"850000","2018-10","EXECUTIVE","219","BISHAN ST 23","1","149","1992","864","1","1","38.28656366830323","5704.697986577181","10210.21021021021"
"850000","2018-11","5 ROOM","235","BISHAN ST 22","4","139","1992","864","1","1","43.99358211272708","6115.107913669065","10210.21021021021"
"850000","2019-06","EXECUTIVE","174","BISHAN ST 13","1","146","1986","792","1","1","39.876149371364235","5821.917808219178","10210.21021021021"
"850000","2019-07","5 ROOM","242","BISHAN ST 22","10","132","1992","852","2","1","48.78328741965105","6439.393939393939","10210.21021021021"
"850000","2019-08","EXECUTIVE","119","BISHAN ST 12","13","144","1987","792","3","1","40.99151234567901","5902.777777777777","10210.21021021021"
"850000","2019-09","5 ROOM","190","BISHAN ST 13","16","121","1987","792","3","1","58.05614370603101","7024.793388429752","10210.21021021021"
"850000","2019-09","5 ROOM","223","BISHAN ST 23","7","121","1992","852","2","1","58.05614370603101","7024.793388429752","10210.21021021021"
"850000","2020-01","EXECUTIVE","187","BISHAN ST 13","1","142","1987","792","1","1","42.15433445744892","5985.915492957746","10210.21021021021"
"850000","2020-02","5 ROOM","194","BISHAN ST 13","19","121","1987","792","3","1","58.05614370603101","7024.793388429752","10210.21021021021"
"850000","2020-09","5 ROOM","190","BISHAN ST 13","16","121","1987","780","3","1","58.05614370603101","7024.793388429752","10210.21021021021"
"850000","2020-12","EXECUTIVE","174","BISHAN ST 13","1","146","1986","780","1","1","39.876149371364235","5821.917808219178","10210.21021021021"
"868000","2019-07","5 ROOM","291","BISHAN ST 24","25","123","1998","924","3","1","57.373256659395864","7056.910569105691","2606.6066066066064"
"868000","2020-10","EXECUTIVE","257","BISHAN ST 22","10","148","1992","840","2","1","39.62746530314098","5864.864864864865","2606.6066066066064"
"868000","2020-10","EXECUTIVE","222","BISHAN ST 23","4","146","1992","840","1","1","40.720585475699","5945.2054794520545","2606.6066066066064"
"270000","2019-11","3 ROOM","24","SIN MING RD","10","65","1973","636","2","0","63.905325443786985","4153.846153846154","270.27027027027026"
"792000","2019-07","5 ROOM","179","BISHAN ST 13","13","121","1987","804","3","1","54.0946656649136","6545.454545454545","792.7927927927927"
"371000","2020-10","3 ROOM","403","SIN MING AVE","4","64","1986","768","1","1","90.576171875","5796.875","371.37137137137137"
"393000","2020-12","3 ROOM","195","BISHAN ST 13","4","64","1988","792","1","1","95.947265625","6140.625","393.3933933933934"
"488800","2020-11","4 ROOM","167","BISHAN ST 13","1","103","1988","792","1","1","46.074088038457916","4745.631067961165","489.2892892892893"
"575000","2018-09","4 ROOM","204","BISHAN ST 23","1","112","1992","864","1","1","45.838647959183675","5133.928571428572","2302.3023023023025"
"575000","2018-09","4 ROOM","445","SIN MING AVE","7","105","1990","840","2","1","52.15419501133787","5476.190476190476","2302.3023023023025"
"575000","2020-06","4 ROOM","292","BISHAN ST 22","1","102","1998","924","1","1","55.26720492118416","5637.254901960784","2302.3023023023025"
"575000","2020-06","4 ROOM","263","BISHAN ST 22","10","104","1992","852","2","1","53.16198224852071","5528.846153846154","2302.3023023023025"
"755888","2019-07","5 ROOM","288","BISHAN ST 24","19","121","1998","936","3","1","51.62816747489926","6247.00826446281","756.6446446446447"
"340000","2018-09","3 ROOM","189","BISHAN ST 13","1","65","1988","816","1","1","80.4733727810651","5230.7692307692305","680.6806806806807"
"340000","2019-01","3 ROOM","407","SIN MING AVE","4","64","1986","792","1","1","83.0078125","5312.5","680.6806806806807"
"765000","2019-06","5 ROOM","178","BISHAN ST 13","7","121","1987","804","2","1","52.250529335427906","6322.3140495867765","3063.063063063063"
"765000","2019-10","5 ROOM","128","BISHAN ST 12","19","121","1987","792","3","1","52.250529335427906","6322.3140495867765","3063.063063063063"
"765000","2019-12","5 ROOM","128","BISHAN ST 12","19","121","1987","792","3","1","52.250529335427906","6322.3140495867765","3063.063063063063"
"765000","2020-11","5 ROOM","253","BISHAN ST 22","4","133","1992","840","1","1","43.24721578382045","5751.87969924812","3063.063063063063"
"537000","2020-11","4 ROOM","181","BISHAN ST 13","4","83","1987","780","1","1","77.95035563942517","6469.879518072289","537.5375375375376"
"730000","2018-09","5 ROOM","103","BISHAN ST 12","7","121","1986","804","2","1","49.85998224165016","6033.05785123967","2922.922922922923"
"730000","2018-09","5 ROOM","442","SIN MING AVE","16","120","1990","840","3","1","50.69444444444444","6083.333333333333","2922.922922922923"
"730000","2020-07","5 ROOM","158","BISHAN ST 13","4","127","1988","792","1","1","45.26009052018104","5748.031496062992","2922.922922922923"
"730000","2020-12","5 ROOM","312","SHUNFU RD","10","121","1985","756","2","1","49.85998224165016","6033.05785123967","2922.922922922923"
"840000","2019-02","5 ROOM",,"BISHAN ST 24","1","120","2011","1092","1","1","58.333333333333336","7000.0","5885.885885885886"
"840000","2019-06","EXECUTIVE","231","BISHAN ST 23","1","148","1992","852","1","1","38.34915997078159","5675.675675675676","5885.885885885886"
"840000","2019-06","MULTI-GENERATION","137","BISHAN ST 12","7","147","1987","804","2","1","38.87269193391642","5714.285714285715","5885.885885885886"
"840000","2019-09","EXECUTIVE","134","BISHAN ST 12","7","143","1986","792","2","1","41.07780331556555","5874.125874125874","5885.885885885886"
"840000","2020-08","5 ROOM",,"BISHAN ST 24","4","120","2011","1080","1","1","58.333333333333336","7000.0","5885.885885885886"
"840000","2020-10","4 ROOM",,"BISHAN ST 24","28","95","2011","1068","3","1","93.07479224376732","8842.105263157895","5885.885885885886"
"840000","2020-12","5 ROOM","237","BISHAN ST 22","4","121","1992","840","1","1","57.37313025066594","6942.148760330579","5885.885885885886"
"330000","2020-07","3 ROOM","108","BISHAN ST 12","4","64","1985","768","1","1","80.56640625","5156.25","660.6606606606607"
"330000","2020-07","3 ROOM","407","SIN MING AVE","1","64","1986","780","1","1","80.56640625","5156.25","660.6606606606607"
"468888","2019-01","4 ROOM","152","BISHAN ST 11","4","93","1988","816","1","1","54.212972597988205","5041.806451612903","469.35735735735733"
"707000","2020-01","5 ROOM","155","BISHAN ST 13","13","121","1987","792","3","1","48.2890512943105","5842.975206611571","707.7077077077078"
"1076000","2018-10","5 ROOM",,"BISHAN ST 24","34","120","2011","1092","3","1","74.72222222222223","8966.666666666666","1077.077077077077"
"740000","2019-07","5 ROOM","192","BISHAN ST 13","7","120","1987","804","2","1","51.388888888888886","6166.666666666667","2222.222222222222"
"740000","2020-03","5 ROOM","290","BISHAN ST 24","19","123","1998","924","3","1","48.91268424879371","6016.260162601626","2222.222222222222"
"740000","2020-06","EXECUTIVE","257","BISHAN ST 22","7","148","1992","852","2","1","33.78378378378378","5000.0","2222.222222222222"
"780000","2018-10","5 ROOM","255","BISHAN ST 22","10","133","1992","864","2","1","44.09520040703262","5864.661654135339","11711.711711711712"
"780000","2019-01","EXECUTIVE","238","BISHAN ST 22","7","151","1992","864","2","1","34.209025919915796","5165.562913907284","11711.711711711712"
"780000","2019-02","EXECUTIVE","119","BISHAN ST 12","1","144","1987","804","1","1","37.61574074074074","5416.666666666667","11711.711711711712"
"780000","2019-05","5 ROOM","249","BISHAN ST 22","7","132","1992","864","2","1","44.76584022038568","5909.090909090909","11711.711711711712"
"780000","2019-10","5 ROOM","450","SIN MING AVE","19","125","1989","828","3","1","49.92","6240.0","11711.711711711712"
"780000","2020-01","5 ROOM","155","BISHAN ST 13","10","131","1987","792","2","1","45.45189674261407","5954.198473282443","11711.711711711712"
"780000","2020-01","EXECUTIVE","134","BISHAN ST 12","1","151","1986","780","1","1","34.209025919915796","5165.562913907284","11711.711711711712"
"780000","2020-07","5 ROOM","156","BISHAN ST 13","4","131","1988","804","1","1","45.45189674261407","5954.198473282443","11711.711711711712"
"780000","2020-08","5 ROOM","292","BISHAN ST 22","7","121","1998","912","2","1","53.27504951847551","6446.280991735537","11711.711711711712"
"780000","2020-09","5 ROOM","182","BISHAN ST 13","7","121","1987","780","2","1","53.27504951847551","6446.280991735537","11711.711711711712"
"780000","2020-09","5 ROOM","210","BISHAN ST 23","10","135","1992","840","2","1","42.79835390946502","5777.777777777777","11711.711711711712"
"780000","2020-11","5 ROOM","190","BISHAN ST 13","10","121","1987","780","2","1","53.27504951847551","6446.280991735537","11711.711711711712"
"780000","2020-11","EXECUTIVE","134","BISHAN ST 12","1","143","1986","780","1","1","38.14367450731087","5454.545454545455","11711.711711711712"
"780000","2020-12","5 ROOM","142","BISHAN ST 12","7","130","1988","792","2","1","46.15384615384615","6000.0","11711.711711711712"
"780000","2020-12","5 ROOM","157","BISHAN ST 13","13","131","1988","792","3","1","45.45189674261407","5954.198473282443","11711.711711711712"
"1060000","2020-07","5 ROOM",,"BISHAN ST 24","28","120","2011","1080","3","1","73.61111111111111","8833.333333333334","1061.061061061061"
"359000","2019-02","3 ROOM","116","BISHAN ST 12","1","70","1985","780","1","1","73.26530612244898","5128.571428571428","359.35935935935936"
"490000","2020-03","4 ROOM","120","BISHAN ST 12","4","91","1986","780","1","1","59.171597633136095","5384.615384615385","1961.961961961962"
"490000","2020-03","4 ROOM","249","BISHAN ST 22","1","110","1992","852","1","1","40.49586776859504","4454.545454545455","1961.961961961962"
"490000","2020-10","4 ROOM","262","BISHAN ST 22","1","104","1992","840","1","1","45.303254437869825","4711.538461538462","1961.961961961962"
"490000","2020-11","4 ROOM","130","BISHAN ST 12","4","105","1986","768","1","1","44.44444444444444","4666.666666666667","1961.961961961962"
"538000","2018-11","4 ROOM","264","BISHAN ST 24","4","104","1992","864","1","1","49.74112426035503","5173.076923076923","1615.6156156156155"
"538000","2020-09","4 ROOM","220","BISHAN ST 23","4","105","1992","840","1","1","48.79818594104309","5123.809523809524","1615.6156156156155"
"538000","2020-09","4 ROOM","445","SIN MING AVE","7","105","1990","816","2","1","48.79818594104309","5123.809523809524","1615.6156156156155"
"615000","2019-12","4 ROOM","113","BISHAN ST 12","4","105","1986","780","1","1","55.78231292517007","5857.142857142857","1231.2312312312313"
"615000","2020-02","4 ROOM","288","BISHAN ST 24","10","100","1998","924","2","1","61.5","6150.0","1231.2312312312313"
"668000","2018-09","4 ROOM","106","BISHAN ST 12","7","105","1985","792","2","1","60.58956916099773","6361.9047619047615","2006.006006006006"
"668000","2019-03","5 ROOM","103","BISHAN ST 12","4","121","1986","792","1","1","45.625298818386725","5520.661157024793","2006.006006006006"
"668000","2019-07","5 ROOM","153","BISHAN ST 13","4","119","1987","804","1","1","47.17180990043076","5613.44537815126","2006.006006006006"
"922500","2020-08","EXECUTIVE","238","BISHAN ST 22","7","143","1992","852","2","1","45.112230426915744","6451.0489510489515","923.4234234234234"
"658000","2019-12","5 ROOM","167","BISHAN ST 13","7","122","1988","804","2","1","44.208546089760816","5393.44262295082","658.6586586586586"
"836800","2020-08","5 ROOM","179","BISHAN ST 13","13","121","1987","792","3","1","57.15456594494911","6915.702479338843","837.6376376376377"
"585000","2018-10","4 ROOM","259","BISHAN ST 22","7","104","1992","864","2","1","54.08653846153846","5625.0","1756.7567567567567"
"585000","2019-12","4 ROOM","249","BISHAN ST 22","4","105","1992","852","1","1","53.06122448979592","5571.428571428572","1756.7567567567567"
"585000","2020-10","4 ROOM","239","BISHAN ST 22","13","105","1992","840","3","1","53.06122448979592","5571.428571428572","1756.7567567567567"
"865000","2019-10","5 ROOM","242","BISHAN ST 22","4","136","1992","852","1","1","46.766868512110726","6360.294117647059","865.8658658658659"
"355000","2018-09","3 ROOM","308","SHUNFU RD","4","67","1984","780","1","1","79.0822009356204","5298.507462686567","710.7107107107107"
"355000","2020-09","4 ROOM","25","SIN MING RD","4","88","1974","624","1","0","45.84194214876033","4034.090909090909","710.7107107107107"
"523000","2018-11","4 ROOM","304","SHUNFU RD","10","92","1985","780","2","1","61.791115311909266","5684.782608695652","523.5235235235235"
"808000","2019-08","EXECUTIVE","201","BISHAN ST 23","1","149","1992","852","1","1","36.394756992928244","5422.818791946309","1617.6176176176177"
"808000","2020-04","4 ROOM",,"BISHAN ST 24","10","95","2011","1080","2","1","89.52908587257618","8505.263157894737","1617.6176176176177"
"1138000","2018-10","EXECUTIVE","179","BISHAN ST 13","22","163","1987","804","3","1","42.8318717302119","6981.59509202454","1139.1391391391392"
"698000","2019-10","5 ROOM","170","BISHAN ST 13","7","121","1987","792","2","1","47.67433918448194","5768.5950413223145","2794.7947947947946"
"698000","2019-11","5 ROOM","448","BRIGHT HILL DR","7","123","1990","828","2","1","46.136558926564874","5674.79674796748","2794.7947947947946"
"698000","2020-01","5 ROOM","214","BISHAN ST 23","4","133","1992","852","1","1","39.45955113347278","5248.12030075188","2794.7947947947946"
"698000","2020-12","5 ROOM","140","BISHAN ST 12","7","123","1988","792","2","1","46.136558926564874","5674.79674796748","2794.7947947947946"
"627000","2020-11","5 ROOM","153","BISHAN ST 13","4","121","1987","792","1","1","42.82494365138993","5181.818181818182","627.6276276276276"
"657700","2019-09","5 ROOM","405","SIN MING AVE","13","120","1986","780","3","1","45.673611111111114","5480.833333333333","658.3583583583584"
"738000","2018-09","4 ROOM","248","BISHAN ST 22","25","114","1992","864","3","1","56.78670360110803","6473.684210526316","1477.4774774774776"
"738000","2019-09","5 ROOM","155","BISHAN ST 13","19","121","1987","804","3","1","50.40639300594222","6099.173553719008","1477.4774774774776"
"1058000","2020-12","EXECUTIVE","190","BISHAN ST 13","19","150","1987","780","3","1","47.022222222222226","7053.333333333333","1059.059059059059"
"440000","2018-12","4 ROOM","126","BISHAN ST 12","10","83","1987","804","2","1","63.86993758165191","5301.204819277108","1321.3213213213214"
"440000","2020-01","4 ROOM","141","BISHAN ST 12","7","84","1988","804","2","1","62.358276643990926","5238.0952380952385","1321.3213213213214"
"440000","2020-12","4 ROOM","167","BISHAN ST 13","4","84","1988","792","1","1","62.358276643990926","5238.0952380952385","1321.3213213213214"
"395000","2018-10","4 ROOM","151","BISHAN ST 11","4","84","1989","828","1","1","55.980725623582764","4702.380952380952","1976.976976976977"
"395000","2019-06","3 ROOM","176","BISHAN ST 13","7","64","1988","804","2","1","96.435546875","6171.875","1976.976976976977"
"395000","2019-10","4 ROOM","154","BISHAN ST 13","1","84","1987","804","1","1","55.980725623582764","4702.380952380952","1976.976976976977"
"395000","2020-03","4 ROOM","167","BISHAN ST 13","4","84","1988","804","1","1","55.980725623582764","4702.380952380952","1976.976976976977"
"395000","2020-09","3 ROOM","306","SHUNFU RD","1","73","1985","756","1","1","74.12272471382998","5410.958904109589","1976.976976976977"
"810000","2018-09","4 ROOM",,"BISHAN ST 24","19","95","2011","1092","3","1","89.75069252077563","8526.315789473685","2432.4324324324325"
"810000","2020-08","EXECUTIVE","159","BISHAN ST 13","1","144","1988","792","1","1","39.0625","5625.0","2432.4324324324325"
"810000","2020-12","5 ROOM","237","BISHAN ST 22","4","127","1992","840","1","1","50.22010044020088","6377.952755905511","2432.4324324324325"
"821888","2019-10","5 ROOM","293","BISHAN ST 22","16","121","1998","924","3","1","56.13605628030872","6792.462809917355","822.7107107107107"
"514000","2019-10","4 ROOM","313","SHUNFU RD","4","95","1985","768","1","1","56.95290858725762","5410.526315789473","514.5145145145145"
"328000","2019-10","4 ROOM","25","SIN MING RD","4","88","1974","636","1","0","42.35537190082645","3727.2727272727275","984.984984984985"
"328000","2020-01","3 ROOM","195","BISHAN ST 13","1","64","1988","804","1","1","80.078125","5125.0","984.984984984985"
"328000","2020-12","3 ROOM","105","BISHAN ST 12","1","64","1985","768","1","1","80.078125","5125.0","984.984984984985"
"845000","2020-02","5 ROOM","223","BISHAN ST 23","4","121","1992","852","1","1","57.71463697834847","6983.471074380165","2537.5375375375374"
"845000","2020-02","EXECUTIVE","401","SIN MING AVE","1","149","1985","768","1","1","38.06134858790145","5671.140939597315","2537.5375375375374"
"845000","2020-08","EXECUTIVE","401","SIN MING AVE","1","155","1985","768","1","1","35.17169614984391","5451.612903225807","2537.5375375375374"
"373000","2020-01","3 ROOM","313","SHUNFU RD","1","67","1985","768","1","1","83.09200267320116","5567.164179104478","373.3733733733734"
"672000","2020-01","5 ROOM","101","BISHAN ST 12","1","121","1987","792","1","1","45.89850420053275","5553.719008264463","672.6726726726727"
"1075000","2020-12","5 ROOM",,"BISHAN ST 24","37","120","2011","1068","3","1","74.65277777777777","8958.333333333334","1076.076076076076"
"515888","2019-06","4 ROOM","263","BISHAN ST 22","1","104","1992","864","1","1","47.696745562130175","4960.461538461538","516.4044044044044"
